position,car_number,starting_grid,laps,time_retired,points,fastest_lap_time,finished_race,driver_Carlos Sainz,driver_Charles Leclerc,driver_Daniel Ricciardo,driver_Esteban Ocon,driver_Fernando Alonso,driver_George Russell,driver_Guanyu Zhou,driver_Kevin Magnussen,driver_Lance Stroll,driver_Lando Norris,driver_Lewis Hamilton,driver_Logan Sargeant,driver_Max Verstappen,driver_Nico Hulkenberg,driver_Oliver Bearman,driver_Oscar Piastri,driver_Pierre Gasly,driver_Sergio Perez,driver_Valtteri Bottas,driver_Yuki Tsunoda,team_Aston Martin Aramco Mercedes,team_Ferrari,team_Haas Ferrari,team_Kick Sauber Ferrari,team_McLaren Mercedes,team_Mercedes,team_RB Honda RBPT,team_Red Bull Racing Honda RBPT,team_Williams Mercedes,set_fastest_lap_Yes
7,22,8,58,95.601,6,81.134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,14,10,58,100.992,4,80.493,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,27,16,58,104.553,2,81.145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,20,14,57,1.0,1,81.082,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,23,12,57,1.0,0,81.618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,3,18,57,1.0,0,81.239,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,10,17,57,1.0,0,81.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,77,13,57,1.0,0,81.422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15,24,19,57,1.0,0,81.327,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,31,15,57,1.0,0,81.354,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,63,7,56,0.0,0,80.28399999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,44,11,15,0.0,0,82.444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,1,1,3,0.0,0,83.115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,53,6863.566,26,93.706,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,11,2,53,12.535,18,93.945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,55,4,53,20.866,15,93.84100000000001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,16,8,53,26.522,12,95.044,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,4,3,53,29.7,10,95.186,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,14,5,53,44.272,8,94.726,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,63,9,53,45.951,6,94.404,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,81,6,53,47.525,4,94.80199999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,44,7,53,48.626,2,93.952,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,22,10,52,1.0,1,96.342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,27,12,52,1.0,0,95.325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,18,16,52,1.0,0,95.798,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,20,18,52,1.0,0,96.654,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,77,13,52,1.0,0,96.608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15,31,15,52,1.0,0,96.232,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
