,raceId,year,round,circuitId,driverId,constructorId,grid,positionOrder,Top 3 Finish,driverAvgFinish,constructorAvgFinish,driverWinRate,driverPodiumRate,constructorWinRate,constructorPodiumRate,averagePitStopDuration,points,position,wins
434,1073,2021,22,24,815,9,4,15,0,9.365461847389557,7.472222222222222,0.024096385542168676,0.13253012048192772,0.14444444444444443,0.35138888888888886,21423.0,585.5,2,11
435,1073,2021,22,24,849,3,16,16,0,15.852459016393443,10.950901180857675,0.0,0.0,0.07085146053449347,0.19515226848974518,21241.0,23.0,8,0
436,1073,2021,22,24,841,51,14,17,0,13.85483870967742,13.345707656612529,0.0,0.0,0.025522041763341066,0.06496519721577726,22283.0,13.0,9,0
437,1073,2021,22,24,847,3,17,18,0,11.702127659574469,10.950901180857675,0.010638297872340425,0.10638297872340426,0.07085146053449347,0.19515226848974518,24156.5,23.0,8,0
438,1073,2021,22,24,8,51,18,19,0,8.491477272727273,13.345707656612529,0.05965909090909091,0.29261363636363635,0.025522041763341066,0.06496519721577726,22338.0,13.0,9,0
439,1073,2021,22,24,853,210,20,20,0,17.863636363636363,14.458333333333334,0.0,0.0,0.0,0.0,24156.5,0.0,10,0
440,1074,2022,1,3,844,6,1,1,1,8.121739130434783,8.338675664276677,0.043478260869565216,0.23478260869565218,0.10248840151834669,0.34289329396878954,24717.333333333332,44.0,1,1
441,1074,2022,1,3,832,6,3,2,1,9.862857142857143,8.338675664276677,0.005714285714285714,0.08571428571428572,0.10248840151834669,0.34289329396878954,24463.666666666668,44.0,1,1
442,1074,2022,1,3,1,131,5,3,1,4.770186335403727,5.813356164383562,0.3198757763975155,0.6055900621118012,0.21404109589041095,0.4897260273972603,25525.333333333332,27.0,2,0
443,1074,2022,1,3,847,131,9,4,0,11.702127659574469,5.813356164383562,0.010638297872340425,0.10638297872340426,0.21404109589041095,0.4897260273972603,25598.666666666668,27.0,2,0
444,1074,2022,1,3,825,210,7,5,0,13.46103896103896,14.458333333333334,0.0,0.006493506493506494,0.0,0.0,25801.666666666668,10.0,3,0
